,Date,Day,Season,Team,Opp,Site,P1,P2,P3,Final,Line,Total,SUm,SUr,OUr,ot
44,2021-01-16 00:00:00,Saturday,2020,Oilers,Canadiens,home,0-1,0-3,1-1,1-5,-110,6.5,-4.0,L,U,0.0
45,2021-01-16 00:00:00,Saturday,2020,Canadiens,Oilers,away,1-0,3-0,1-1,5-1,-110,6.5,4.0,W,U,0.0
46,2021-01-16 00:00:00,Saturday,2020,Coyotes,Sharks,home,2-2,2-0,1-1,5-3,-130,5.5,2.0,W,O,0.0
47,2021-01-16 00:00:00,Saturday,2020,Sharks,Coyotes,away,2-2,0-2,1-1,3-5,118,5.5,-2.0,L,O,0.0
48,2021-01-16 00:00:00,Saturday,2020,Devils,Bruins,home,1-0,0-1,0-0,2-1,165,5.5,1.0,W,U,1.0
49,2021-01-16 00:00:00,Saturday,2020,Bruins,Devils,away,0-1,1-0,0-0,1-2,-184,5.5,-1.0,L,U,1.0
50,2021-01-16 00:00:00,Saturday,2020,Rangers,Islanders,home,2-0,2-0,1-0,5-0,-105,6.0,5.0,W,U,0.0
51,2021-01-16 00:00:00,Saturday,2020,Islanders,Rangers,away,0-2,0-2,0-1,0-5,-105,6.0,-5.0,L,U,0.0
52,2021-01-16 00:00:00,Saturday,2020,Red Wings,Hurricanes,home,0-0,1-0,3-2,4-2,199,5.5,2.0,W,O,0.0
53,2021-01-16 00:00:00,Saturday,2020,Hurricanes,Red Wings,away,0-0,0-1,2-3,2-4,-223,5.5,-2.0,L,O,0.0
54,2021-01-16 00:00:00,Saturday,2020,Senators,Maple Leafs,home,1-1,0-1,1-1,2-3,180,6.5,-1.0,L,U,0.0
55,2021-01-16 00:00:00,Saturday,2020,Maple Leafs,Senators,away,1-1,1-0,1-1,3-2,-210,6.5,1.0,W,U,0.0
56,2021-01-16 00:00:00,Saturday,2020,Knights,Ducks,home,0-0,0-1,1-0,2-1,-220,6.0,1.0,W,U,1.0
57,2021-01-16 00:00:00,Saturday,2020,Ducks,Knights,away,0-0,1-0,0-1,1-2,196,6.0,-1.0,L,U,1.0
58,2021-01-16 00:00:00,Saturday,2020,Kings,Wild,home,1-1,2-0,0-2,3-4,120,5.5,-1.0,L,O,1.0
