,Date,Streak,Date_diff,Day,TeamChange,Team,Home_City,Opp,Opp_City,Site,Road_Trip,Home_Stand,Final,Line,Total,SUm,SUr,OUr,ot,Distance
241,2021-01-23,0,2,Saturday,False,Flyers,Philadelphia,Bruins,Boston,away,2,0,1-6,131,5.5,-5,L,O,0,436.0523329701142
242,2021-01-26,0,3,Tuesday,False,Flyers,Philadelphia,Devils,Newark,away,3,0,5-3,-145,5.5,2,W,O,0,121.03515994764935
243,2021-01-28,0,2,Thursday,False,Flyers,Philadelphia,Devils,Newark,away,4,0,3-1,-165,5.5,2,W,U,0,121.03515994764935
244,2021-01-30,1,2,Saturday,False,Flyers,Philadelphia,Islanders,Uniondale,home,0,1,3-2,-125,5.5,1,W,U,1,0.0
245,2021-01-31,2,1,Sunday,False,Flyers,Philadelphia,Islanders,Uniondale,home,0,2,4-3,-120,5.5,1,W,O,1,0.0
246,2021-02-03,3,3,Wednesday,False,Flyers,Philadelphia,Bruins,Boston,home,0,3,3-4,115,5.5,-1,L,O,1,0.0
247,2021-02-05,4,2,Friday,False,Flyers,Philadelphia,Bruins,Boston,home,0,4,1-2,125,5.5,-1,L,U,0,0.0
248,2021-02-07,0,2,Sunday,False,Flyers,Philadelphia,Capitals,Washington,away,1,0,7-4,-125,6.0,3,W,O,0,199.49710007415408
249,2021-02-18,1,11,Thursday,False,Flyers,Philadelphia,Rangers,New York,home,0,1,2-3,-110,6.0,-1,L,U,1,0.0
250,2021-02-21,0,3,Sunday,False,Flyers,Philadelphia,Bruins,Boston,away,1,0,3-7,158,5.5,-4,L,O,0,436.0523329701142
251,2021-02-24,1,3,Wednesday,False,Flyers,Philadelphia,Rangers,New York,home,0,1,4-3,-130,5.5,1,W,O,0,0.0
252,2021-01-14,0,0,Thursday,True,Hurricanes,Raleigh,Red Wings,Detroit,away,1,0,3-0,-225,6.0,3,W,U,0,820.9722625484587
253,2021-01-16,0,2,Saturday,False,Hurricanes,Raleigh,Red Wings,Detroit,away,2,0,2-4,-223,5.5,-2,L,O,0,820.9722625484587
254,2021-01-18,0,2,Monday,False,Hurricanes,Raleigh,Predators,Nashville,away,3,0,4-2,-125,6.0,2,W,P,0,734.7761231712492
255,2021-01-28,1,10,Thursday,False,Hurricanes,Raleigh,Lightning,Tampa,home,0,1,1-0,130,6.0,1,W,U,1,0.0
256,2021-01-30,2,2,Saturday,False,Hurricanes,Raleigh,Stars,Dallas,home,0,2,4-1,-125,5.5,3,W,U,0,0.0
257,2021-01-31,3,1,Sunday,False,Hurricanes,Raleigh,Stars,Dallas,home,0,3,4-3,-125,5.5,1,W,O,1,0.0
258,2021-02-02,0,2,Tuesday,False,Hurricanes,Raleigh,Blackhawks,Chicago,away,1,0,4-3,-165,6.0,1,W,O,1,1031.7179363733235
259,2021-02-04,0,2,Thursday,False,Hurricanes,Raleigh,Blackhawks,Chicago,away,2,0,4-6,-178,6.0,-2,L,O,0,1031.7179363733235
260,2021-02-07,0,3,Sunday,False,Hurricanes,Raleigh,Blue Jackets,Columbus,away,3,0,6-5,-145,5.5,1,W,O,0,602.0852515968929
261,2021-02-08,0,1,Monday,False,Hurricanes,Raleigh,Blue Jackets,Columbus,away,4,0,2-3,-144,5.5,-1,L,U,0,602.0852515968929
262,2021-02-11,0,3,Thursday,False,Hurricanes,Raleigh,Stars,Dallas,away,5,0,5-3,-125,5.5,2,W,O,0,1702.2523075053584
263,2021-02-13,0,2,Saturday,False,Hurricanes,Raleigh,Stars,Dallas,away,6,0,4-3,-120,5.5,1,W,O,1,1702.2523075053584
264,2021-02-15,1,2,Monday,False,Hurricanes,Raleigh,Blue Jackets,Columbus,home,0,1,7-3,-180,6.0,4,W,O,0,0.0
265,2021-02-17,2,2,Wednesday,False,Hurricanes,Raleigh,Panthers,Sunrise,home,0,2,3-4,-130,6.5,-1,L,O,1,0.0
266,2021-02-19,3,2,Friday,False,Hurricanes,Raleigh,Blackhawks,Chicago,home,0,3,5-3,-175,6.0,2,W,O,0,0.0
267,2021-02-20,4,1,Saturday,False,Hurricanes,Raleigh,Lightning,Tampa,home,0,4,4-0,136,6.5,4,W,U,0,0.0
268,2021-02-22,5,2,Monday,False,Hurricanes,Raleigh,Lightning,Tampa,home,0,5,2-4,105,6.0,-2,L,P,0,0.0
269,2021-02-24,0,2,Wednesday,False,Hurricanes,Raleigh,Lightning,Tampa,away,1,0,0-3,144,6.0,-3,L,U,0,940.4861585883441
270,2021-02-25,0,1,Thursday,False,Hurricanes,Raleigh,Lightning,Tampa,away,2,0,1-3,127,6.5,-2,L,U,0,940.4861585883441
271,2021-02-27,0,2,Saturday,False,Hurricanes,Raleigh,Panthers,Sunrise,away,3,0,4-3,-125,6.0,1,W,O,1,1077.2664797465147
272,2021-01-14,0,0,Thursday,True,Islanders,Uniondale,Rangers,New York,away,1,0,4-0,-110,6.0,4,W,U,0,35.21257386522654
273,2021-01-16,0,2,Saturday,False,Islanders,Uniondale,Rangers,New York,away,2,0,0-5,-105,6.0,-5,L,U,0,35.21257386522654
274,2021-01-18,1,2,Monday,False,Islanders,Uniondale,Bruins,Boston,home,0,1,1-0,115,5.5,1,W,U,0,0.0
275,2021-01-21,2,3,Thursday,False,Islanders,Uniondale,Devils,Newark,home,0,2,4-1,-179,5.5,3,W,U,0,0.0
276,2021-01-24,0,3,Sunday,False,Islanders,Uniondale,Devils,Newark,away,1,0,0-2,-161,5.5,-2,L,U,0,49.37792838824772
277,2021-01-26,0,2,Tuesday,False,Islanders,Uniondale,Capitals,Washington,away,2,0,2-3,-121,5.5,-1,L,U,0,356.96416783890635
278,2021-01-28,0,2,Thursday,False,Islanders,Uniondale,Capitals,Washington,away,3,0,3-6,-121,5.5,-3,L,O,0,356.96416783890635
279,2021-01-30,0,2,Saturday,False,Islanders,Uniondale,Flyers,Philadelphia,away,4,0,2-3,115,5.5,-1,L,U,1,157.59061164279325
280,2021-01-31,0,1,Sunday,False,Islanders,Uniondale,Flyers,Philadelphia,away,5,0,3-4,109,5.5,-1,L,O,1,157.59061164279325
281,2021-02-06,1,6,Saturday,False,Islanders,Uniondale,Penguins,Pittsburgh,home,0,1,4-3,-120,5.5,1,W,O,0,0.0
282,2021-02-08,0,2,Monday,False,Islanders,Uniondale,Rangers,New York,away,1,0,2-0,-105,5.5,2,W,U,0,35.21257386522654
283,2021-02-11,1,3,Thursday,False,Islanders,Uniondale,Penguins,Pittsburgh,home,0,1,3-4,-110,5.5,-1,L,O,1,0.0
284,2021-02-13,2,2,Saturday,False,Islanders,Uniondale,Bruins,Boston,home,0,2,4-2,110,5.0,2,W,O,0,0.0
285,2021-02-15,0,2,Monday,False,Islanders,Uniondale,Sabres,Buffalo,away,1,0,3-1,-130,5.5,2,W,U,0,501.9180326002545
286,2021-02-16,0,1,Tuesday,False,Islanders,Uniondale,Sabres,Buffalo,away,2,0,3-0,-135,5.5,3,W,U,0,501.9180326002545
287,2021-02-18,0,2,Thursday,False,Islanders,Uniondale,Penguins,Pittsburgh,away,3,0,1-4,104,5.5,-3,L,U,0,542.6344585749772
288,2021-02-20,0,2,Saturday,False,Islanders,Uniondale,Penguins,Pittsburgh,away,4,0,2-3,109,5.5,-1,L,U,0,542.6344585749772
289,2021-02-22,1,2,Monday,False,Islanders,Uniondale,Sabres,Buffalo,home,0,1,3-2,-165,5.0,1,W,P,0,0.0
290,2021-02-25,2,3,Thursday,False,Islanders,Uniondale,Bruins,Boston,home,0,2,7-2,105,5.5,5,W,O,0,0.0
291,2021-02-27,3,2,Saturday,False,Islanders,Uniondale,Penguins,Pittsburgh,home,0,3,3-4,-115,5.5,-1,L,O,1,0.0
292,2021-01-14,4,0,Thursday,True,Jets,Winnipeg,Flames,Calgary,home,0,1,4-3,105,5.5,1,W,O,1,0.0
293,2021-01-18,0,4,Monday,False,Jets,Winnipeg,Maple Leafs,Toronto,away,1,0,1-3,153,6.5,-2,L,U,0,1518.0337707268532
294,2021-01-19,0,1,Tuesday,False,Jets,Winnipeg,Senators,Ottawa,away,2,0,4-3,-110,6.0,1,W,O,1,1679.4270918493457
295,2021-01-21,0,2,Thursday,False,Jets,Winnipeg,Senators,Ottawa,away,3,0,4-1,-120,6.0,3,W,U,0,1679.4270918493457
296,2021-01-23,1,2,Saturday,False,Jets,Winnipeg,Senators,Ottawa,home,0,1,6-3,-150,6.0,3,W,O,0,0.0
297,2021-01-24,2,1,Sunday,False,Jets,Winnipeg,Oilers,Edmonton,home,0,2,3-4,120,6.5,-1,L,O,0,0.0
298,2021-02-01,3,8,Monday,False,Jets,Winnipeg,Flames,Calgary,home,0,3,3-4,105,6.0,-1,L,O,1,0.0
299,2021-02-02,4,1,Tuesday,False,Jets,Winnipeg,Flames,Calgary,home,0,4,3-2,105,6.0,1,W,U,0,0.0
300,2021-02-04,5,2,Thursday,False,Jets,Winnipeg,Flames,Calgary,home,0,5,4-1,115,6.0,3,W,U,0,0.0
301,2021-02-09,0,5,Tuesday,False,Jets,Winnipeg,Flames,Calgary,away,1,0,2-3,113,6.0,-1,L,U,0,1205.5877673387997
302,2021-02-11,1,2,Thursday,False,Jets,Winnipeg,Senators,Ottawa,home,0,1,5-1,-222,6.0,4,W,P,0,0.0
303,2021-02-13,2,2,Saturday,False,Jets,Winnipeg,Senators,Ottawa,home,0,2,1-2,-222,6.0,-1,L,U,0,0.0
304,2021-02-15,0,2,Monday,False,Jets,Winnipeg,Oilers,Edmonton,away,1,0,6-5,115,6.5,1,W,O,0,1198.359215702851
305,2021-02-17,0,2,Wednesday,False,Jets,Winnipeg,Oilers,Edmonton,away,2,0,2-3,131,6.5,-1,L,U,0,1198.359215702851
306,2021-02-19,0,2,Friday,False,Jets,Winnipeg,Canucks,Vancouver,away,3,0,2-0,110,6.5,2,W,U,0,1870.4670804444336
307,2021-02-21,0,2,Sunday,False,Jets,Winnipeg,Canucks,Vancouver,away,4,0,4-3,-110,6.0,1,W,O,1,1870.4670804444336
308,2021-02-25,1,4,Thursday,False,Jets,Winnipeg,Canadiens,Montreal,home,0,1,6-3,110,6.0,3,W,O,0,0.0
309,2021-01-14,2,0,Thursday,True,Kings,Los Angeles,Wild,St. Paul,home,0,1,3-4,120,5.5,-1,L,O,1,0.0
310,2021-01-16,3,2,Saturday,False,Kings,Los Angeles,Wild,St. Paul,home,0,2,3-4,120,5.5,-1,L,O,1,0.0
311,2021-01-19,4,3,Tuesday,False,Kings,Los Angeles,Avalanche,Denver,home,0,3,2-3,210,6.0,-1,L,U,0,0.0
312,2021-01-21,5,2,Thursday,False,Kings,Los Angeles,Avalanche,Denver,home,0,4,4-2,210,5.5,2,W,O,0,0.0
313,2021-01-23,0,2,Saturday,False,Kings,Los Angeles,Blues,St. Louis,away,1,0,2-4,180,5.5,-2,L,O,0,2554.2267406728806
314,2021-01-24,0,1,Sunday,False,Kings,Los Angeles,Blues,St. Louis,away,2,0,6-3,170,5.5,3,W,O,0,2554.2267406728806
315,2021-02-02,1,9,Tuesday,False,Kings,Los Angeles,Ducks,Anaheim,home,0,1,1-3,-120,5.5,-2,L,U,0,0.0
316,2021-02-05,0,3,Friday,False,Kings,Los Angeles,Knights,Las Vegas,away,1,0,2-5,215,5.5,-3,L,O,0,366.78047377429255
317,2021-02-07,0,2,Sunday,False,Kings,Los Angeles,Knights,Las Vegas,away,2,0,3-4,231,5.5,-1,L,O,0,366.78047377429255
318,2021-02-09,1,2,Tuesday,False,Kings,Los Angeles,Sharks,San Jose,home,0,1,3-4,105,5.5,-1,L,O,1,0.0
319,2021-02-11,2,2,Thursday,False,Kings,Los Angeles,Sharks,San Jose,home,0,2,6-2,105,6.0,4,W,O,0,0.0
320,2021-02-16,3,5,Tuesday,False,Kings,Los Angeles,Wild,St. Paul,home,0,3,4-0,135,5.5,4,W,U,0,0.0
321,2021-02-18,0,2,Thursday,False,Kings,Los Angeles,Coyotes,Glendale,away,1,0,3-2,155,5.5,1,W,U,1,10.354380148484223
322,2021-02-20,0,2,Saturday,False,Kings,Los Angeles,Coyotes,Glendale,away,2,0,4-2,140,5.5,2,W,O,0,10.354380148484223
323,2021-02-22,0,2,Monday,False,Kings,Los Angeles,Blues,St. Louis,away,3,0,3-0,165,5.5,3,W,U,0,2554.2267406728806
324,2021-02-24,0,2,Wednesday,False,Kings,Los Angeles,Blues,St. Louis,away,4,0,2-1,130,5.5,1,W,U,0,2554.2267406728806
325,2021-02-26,0,2,Friday,False,Kings,Los Angeles,Wild,St. Paul,away,5,0,1-3,162,5.5,-2,L,U,0,2462.943663880059
326,2021-02-27,0,1,Saturday,False,Kings,Los Angeles,Wild,St. Paul,away,6,0,3-4,153,5.5,-1,L,O,1,2462.943663880059
327,2021-01-14,1,0,Thursday,True,Knights,Las Vegas,Ducks,Anaheim,home,0,1,5-2,-230,6.0,3,W,O,0,0.0
328,2021-01-16,2,2,Saturday,False,Knights,Las Vegas,Ducks,Anaheim,home,0,2,2-1,-220,6.0,1,W,U,1,0.0
329,2021-01-18,3,2,Monday,False,Knights,Las Vegas,Coyotes,Glendale,home,0,3,4-2,-200,5.5,2,W,O,0,0.0
330,2021-01-20,4,2,Wednesday,False,Knights,Las Vegas,Coyotes,Glendale,home,0,4,5-2,-185,5.5,3,W,O,0,0.0
331,2021-01-22,0,2,Friday,False,Knights,Las Vegas,Coyotes,Glendale,away,1,0,2-5,-170,5.5,-3,L,O,0,360.4946419402471
332,2021-01-24,0,2,Sunday,False,Knights,Las Vegas,Coyotes,Glendale,away,2,0,1-0,-175,5.5,1,W,U,0,360.4946419402471
333,2021-01-26,1,2,Tuesday,False,Knights,Las Vegas,Blues,St. Louis,home,0,1,4-5,-149,6.0,-1,L,O,1,0.0
334,2021-02-05,2,10,Friday,False,Knights,Las Vegas,Kings,Los Angeles,home,0,2,5-2,-250,5.5,3,W,O,0,0.0
335,2021-02-07,3,2,Sunday,False,Knights,Las Vegas,Kings,Los Angeles,home,0,3,4-3,-270,5.5,1,W,O,0,0.0
336,2021-02-09,4,2,Tuesday,False,Knights,Las Vegas,Ducks,Anaheim,home,0,4,5-4,-230,5.5,1,W,O,0,0.0
337,2021-02-11,5,2,Thursday,False,Knights,Las Vegas,Ducks,Anaheim,home,0,5,0-1,-200,5.5,-1,L,U,0,0.0
338,2021-02-13,0,2,Saturday,False,Knights,Las Vegas,Sharks,San Jose,away,1,0,3-1,-185,6.0,2,W,U,0,615.7352691440287
339,2021-02-14,1,1,Sunday,False,Knights,Las Vegas,Avalanche,Denver,home,0,1,1-0,-105,5.5,1,W,U,0,0.0
340,2021-02-16,2,2,Tuesday,False,Knights,Las Vegas,Avalanche,Denver,home,0,2,2-3,-120,5.5,-1,L,U,0,0.0
341,2021-02-20,0,4,Saturday,False,Knights,Las Vegas,Avalanche,Denver,away,1,0,2-3,104,5.5,-1,L,U,0,976.519709072518
342,2021-02-22,0,2,Monday,False,Knights,Las Vegas,Avalanche,Denver,away,2,0,3-0,115,5.5,3,W,U,0,976.519709072518
343,2021-02-27,0,5,Saturday,False,Knights,Las Vegas,Ducks,Anaheim,away,3,0,3-2,-213,5.5,1,W,U,1,361.33618059388084
344,2021-01-13,1,0,Wednesday,True,Lightning,Tampa,Blackhawks,Chicago,home,0,1,5-1,-256,6.5,4,W,U,0,0.0
345,2021-01-15,2,2,Friday,False,Lightning,Tampa,Blackhawks,Chicago,home,0,2,5-2,-255,6.5,3,W,O,0,0.0
346,2021-01-21,0,6,Thursday,False,Lightning,Tampa,Blue Jackets,Columbus,away,1,0,3-2,-161,5.5,1,W,U,1,1333.6201785255307
347,2021-01-23,0,2,Saturday,False,Lightning,Tampa,Blue Jackets,Columbus,away,2,0,2-5,-172,5.5,-3,L,O,0,1333.6201785255307
348,2021-01-28,0,5,Thursday,False,Lightning,Tampa,Hurricanes,Raleigh,away,3,0,0-1,-144,6.0,-1,L,U,1,940.4861585883441
349,2021-01-30,1,2,Saturday,False,Lightning,Tampa,Predators,Nashville,home,0,1,4-3,-170,5.5,1,W,O,0,0.0
350,2021-02-01,2,2,Monday,False,Lightning,Tampa,Predators,Nashville,home,0,2,5-2,-175,5.5,3,W,O,0,0.0
351,2021-02-03,3,2,Wednesday,False,Lightning,Tampa,Red Wings,Detroit,home,0,3,5-1,-345,5.5,4,W,O,0,0.0
352,2021-02-05,4,2,Friday,False,Lightning,Tampa,Red Wings,Detroit,home,0,4,3-1,-370,5.5,2,W,U,0,0.0
353,2021-02-08,0,3,Monday,False,Lightning,Tampa,Predators,Nashville,away,1,0,4-1,-160,5.5,3,W,U,0,997.598164502239
354,2021-02-09,0,1,Tuesday,False,Lightning,Tampa,Predators,Nashville,away,2,0,6-1,-170,5.5,5,W,O,0,997.598164502239
355,2021-02-11,0,2,Thursday,False,Lightning,Tampa,Panthers,Sunrise,away,3,0,2-5,-144,5.5,-3,L,O,0,292.7403926880567
356,2021-02-13,0,2,Saturday,False,Lightning,Tampa,Panthers,Sunrise,away,4,0,6-1,-135,5.5,5,W,O,0,292.7403926880567
357,2021-02-15,1,2,Monday,False,Lightning,Tampa,Panthers,Sunrise,home,0,1,4-6,-170,6.0,-2,L,O,0,0.0
358,2021-02-20,0,5,Saturday,False,Lightning,Tampa,Hurricanes,Raleigh,away,1,0,0-4,-150,6.5,-4,L,U,0,940.4861585883441
359,2021-02-22,0,2,Monday,False,Lightning,Tampa,Hurricanes,Raleigh,away,2,0,4-2,-125,6.0,2,W,P,0,940.4861585883441
360,2021-02-24,1,2,Wednesday,False,Lightning,Tampa,Hurricanes,Raleigh,home,0,1,3-0,-160,6.0,3,W,U,0,0.0
361,2021-02-25,2,1,Thursday,False,Lightning,Tampa,Hurricanes,Raleigh,home,0,2,3-1,-140,6.5,2,W,U,0,0.0
362,2021-02-27,3,2,Saturday,False,Lightning,Tampa,Stars,Dallas,home,0,3,5-0,-185,5.5,5,W,U,0,0.0
363,2021-01-13,4,0,Wednesday,True,Maple Leafs,Toronto,Canadiens,Montreal,home,0,1,5-4,-145,6.0,1,W,O,1,0.0
364,2021-01-15,0,2,Friday,False,Maple Leafs,Toronto,Senators,Ottawa,away,1,0,3-5,-200,6.5,-2,L,O,0,353.1588884496667
365,2021-01-16,0,1,Saturday,False,Maple Leafs,Toronto,Senators,Ottawa,away,2,0,3-2,-210,6.5,1,W,U,0,353.1588884496667
366,2021-01-18,1,2,Monday,False,Maple Leafs,Toronto,Jets,Winnipeg,home,0,1,3-1,-170,6.5,2,W,U,0,0.0
367,2021-01-20,2,2,Wednesday,False,Maple Leafs,Toronto,Oilers,Edmonton,home,0,2,1-3,-150,6.5,-2,L,U,0,0.0
368,2021-01-22,3,2,Friday,False,Maple Leafs,Toronto,Oilers,Edmonton,home,0,3,4-2,-125,6.0,2,W,P,0,0.0
369,2021-01-24,0,2,Sunday,False,Maple Leafs,Toronto,Flames,Calgary,away,1,0,3-2,-120,6.0,1,W,U,0,2717.3383291181954
370,2021-01-26,0,2,Tuesday,False,Maple Leafs,Toronto,Flames,Calgary,away,2,0,4-3,-115,6.0,1,W,O,0,2717.3383291181954
371,2021-01-30,0,4,Saturday,False,Maple Leafs,Toronto,Oilers,Edmonton,away,3,0,3-4,-120,6.5,-1,L,O,1,2713.1308544641215
372,2021-02-04,1,5,Thursday,False,Maple Leafs,Toronto,Canucks,Vancouver,home,0,1,7-3,-170,6.5,4,W,O,0,0.0
373,2021-02-06,2,2,Saturday,False,Maple Leafs,Toronto,Canucks,Vancouver,home,0,2,5-1,-170,6.5,4,W,U,0,0.0
374,2021-02-08,3,2,Monday,False,Maple Leafs,Toronto,Canucks,Vancouver,home,0,3,3-1,-190,6.5,2,W,U,0,0.0
375,2021-02-10,0,2,Wednesday,False,Maple Leafs,Toronto,Canadiens,Montreal,away,1,0,4-2,-110,6.5,2,W,U,0,502.10702739918554
376,2021-02-13,1,3,Saturday,False,Maple Leafs,Toronto,Canadiens,Montreal,home,0,1,1-2,-140,6.5,-1,L,U,0,0.0
377,2021-02-15,2,2,Monday,False,Maple Leafs,Toronto,Senators,Ottawa,home,0,2,5-6,-300,6.5,-1,L,O,1,0.0
378,2021-02-17,3,2,Wednesday,False,Maple Leafs,Toronto,Senators,Ottawa,home,0,3,2-1,-323,6.5,1,W,U,0,0.0
379,2021-02-18,4,1,Thursday,False,Maple Leafs,Toronto,Senators,Ottawa,home,0,4,7-3,-290,6.5,4,W,O,0,0.0
380,2021-02-20,0,2,Saturday,False,Maple Leafs,Toronto,Canadiens,Montreal,away,1,0,5-3,-115,6.5,2,W,O,0,502.10702739918554
381,2021-02-22,1,2,Monday,False,Maple Leafs,Toronto,Flames,Calgary,home,0,1,0-3,-150,6.5,-3,L,U,0,0.0
382,2021-02-24,2,2,Wednesday,False,Maple Leafs,Toronto,Flames,Calgary,home,0,2,2-1,-145,6.0,1,W,U,1,0.0
383,2021-02-27,0,3,Saturday,False,Maple Leafs,Toronto,Oilers,Edmonton,away,1,0,4-0,-105,6.5,4,W,U,0,2713.1308544641215
384,2021-01-13,1,0,Wednesday,True,Oilers,Edmonton,Canucks,Vancouver,home,0,1,3-5,-125,6.0,-2,L,O,0,0.0
385,2021-01-14,2,1,Thursday,False,Oilers,Edmonton,Canucks,Vancouver,home,0,2,5-2,-130,6.0,3,W,O,0,0.0
386,2021-01-16,3,2,Saturday,False,Oilers,Edmonton,Canadiens,Montreal,home,0,3,1-5,-110,6.5,-4,L,U,0,0.0
387,2021-01-18,4,2,Monday,False,Oilers,Edmonton,Canadiens,Montreal,home,0,4,1-3,-115,6.5,-2,L,U,0,0.0
388,2021-01-20,0,2,Wednesday,False,Oilers,Edmonton,Maple Leafs,Toronto,away,1,0,3-1,130,6.5,2,W,U,0,2713.1308544641215
389,2021-01-22,0,2,Friday,False,Oilers,Edmonton,Maple Leafs,Toronto,away,2,0,2-4,115,6.0,-2,L,P,0,2713.1308544641215
390,2021-01-24,0,2,Sunday,False,Oilers,Edmonton,Jets,Winnipeg,away,3,0,4-3,-145,6.5,1,W,O,0,1198.359215702851
391,2021-01-30,1,6,Saturday,False,Oilers,Edmonton,Maple Leafs,Toronto,home,0,1,4-3,110,6.5,1,W,O,1,0.0
392,2021-01-31,2,1,Sunday,False,Oilers,Edmonton,Senators,Ottawa,home,0,2,8-5,-185,6.5,3,W,O,0,0.0
393,2021-02-02,3,2,Tuesday,False,Oilers,Edmonton,Senators,Ottawa,home,0,3,4-2,-235,6.5,2,W,U,0,0.0
394,2021-02-06,0,4,Saturday,False,Oilers,Edmonton,Flames,Calgary,away,1,0,4-6,118,6.5,-2,L,O,0,278.75547842653754
395,2021-02-08,0,2,Monday,False,Oilers,Edmonton,Senators,Ottawa,away,2,0,3-1,-192,6.5,2,W,U,0,2846.477084669064
396,2021-02-09,0,1,Tuesday,False,Oilers,Edmonton,Senators,Ottawa,away,3,0,3-2,-192,6.5,1,W,U,0,2846.477084669064
397,2021-02-11,0,2,Thursday,False,Oilers,Edmonton,Canadiens,Montreal,away,4,0,3-0,135,6.5,3,W,U,0,2979.800687480477
398,2021-02-15,1,4,Monday,False,Oilers,Edmonton,Jets,Winnipeg,home,0,1,5-6,-135,6.5,-1,L,O,0,0.0
399,2021-02-17,2,2,Wednesday,False,Oilers,Edmonton,Jets,Winnipeg,home,0,2,3-2,-145,6.5,1,W,U,0,0.0
400,2021-02-19,0,2,Friday,False,Oilers,Edmonton,Flames,Calgary,away,1,0,2-1,-110,6.5,1,W,U,0,278.75547842653754
401,2021-02-23,0,4,Tuesday,False,Oilers,Edmonton,Canucks,Vancouver,away,2,0,4-3,-140,6.5,1,W,O,0,819.3106644071983
402,2021-02-25,0,2,Thursday,False,Oilers,Edmonton,Canucks,Vancouver,away,3,0,3-0,-145,6.5,3,W,U,0,819.3106644071983
403,2021-02-27,1,2,Saturday,False,Oilers,Edmonton,Maple Leafs,Toronto,home,0,1,0-4,-115,6.5,-4,L,U,0,0.0
404,2021-01-17,2,0,Sunday,True,Panthers,Sunrise,Blackhawks,Chicago,home,0,1,5-2,-150,6.5,3,W,O,0,0.0
405,2021-01-19,3,2,Tuesday,False,Panthers,Sunrise,Blackhawks,Chicago,home,0,2,5-4,-155,6.5,1,W,O,1,0.0
406,2021-01-26,0,7,Tuesday,False,Panthers,Sunrise,Blue Jackets,Columbus,away,1,0,4-3,-105,5.5,1,W,O,1,1550.7770447667701
407,2021-01-28,0,2,Thursday,False,Panthers,Sunrise,Blue Jackets,Columbus,away,2,0,2-3,-105,5.5,-1,L,U,1,1550.7770447667701
408,2021-01-30,0,2,Saturday,False,Panthers,Sunrise,Red Wings,Detroit,away,3,0,3-2,-170,6.0,1,W,U,1,1810.9104971069405
409,2021-01-31,0,1,Sunday,False,Panthers,Sunrise,Red Wings,Detroit,away,4,0,3-2,-180,5.5,1,W,U,0,1810.9104971069405
410,2021-02-04,1,4,Thursday,False,Panthers,Sunrise,Predators,Nashville,home,0,1,5-6,-115,6.0,-1,L,O,1,0.0
411,2021-02-05,2,1,Friday,False,Panthers,Sunrise,Predators,Nashville,home,0,2,2-1,-135,6.0,1,W,U,0,0.0
412,2021-02-07,3,2,Sunday,False,Panthers,Sunrise,Red Wings,Detroit,home,0,3,1-4,-250,5.5,-3,L,U,0,0.0
413,2021-02-09,4,2,Tuesday,False,Panthers,Sunrise,Red Wings,Detroit,home,0,4,2-1,-208,5.5,1,W,U,0,0.0
414,2021-02-11,5,2,Thursday,False,Panthers,Sunrise,Lightning,Tampa,home,0,5,5-2,130,5.5,3,W,O,0,0.0
415,2021-02-13,6,2,Saturday,False,Panthers,Sunrise,Lightning,Tampa,home,0,6,1-6,115,5.5,-5,L,O,0,0.0
416,2021-02-15,0,2,Monday,False,Panthers,Sunrise,Lightning,Tampa,away,1,0,6-4,150,6.0,2,W,O,0,292.7403926880567
417,2021-02-17,0,2,Wednesday,False,Panthers,Sunrise,Hurricanes,Raleigh,away,2,0,4-3,118,6.5,1,W,O,1,1077.2664797465147
418,2021-02-19,0,2,Friday,False,Panthers,Sunrise,Red Wings,Detroit,away,3,0,7-2,-185,5.5,5,W,O,0,1810.9104971069405
419,2021-02-20,0,1,Saturday,False,Panthers,Sunrise,Red Wings,Detroit,away,4,0,1-2,-166,5.5,-1,L,U,0,1810.9104971069405
420,2021-02-22,1,2,Monday,False,Panthers,Sunrise,Stars,Dallas,home,0,1,3-1,-125,5.5,2,W,U,0,0.0
421,2021-02-24,2,2,Wednesday,False,Panthers,Sunrise,Stars,Dallas,home,0,2,0-3,-135,5.5,-3,L,U,0,0.0
422,2021-02-25,3,1,Thursday,False,Panthers,Sunrise,Stars,Dallas,home,0,3,3-2,-130,5.5,1,W,U,0,0.0
423,2021-02-27,4,2,Saturday,False,Panthers,Sunrise,Hurricanes,Raleigh,home,0,4,3-4,105,6.0,-1,L,O,1,0.0
424,2021-01-13,0,0,Wednesday,True,Penguins,Pittsburgh,Flyers,Philadelphia,away,1,0,3-6,-105,6.0,-3,L,O,0,414.4873311986973
425,2021-01-15,0,2,Friday,False,Penguins,Pittsburgh,Flyers,Philadelphia,away,2,0,2-5,-105,6.0,-3,L,O,0,414.4873311986973
426,2021-01-17,1,2,Sunday,False,Penguins,Pittsburgh,Capitals,Washington,home,0,1,4-3,-125,6.5,1,W,O,1,0.0
427,2021-01-19,2,2,Tuesday,False,Penguins,Pittsburgh,Capitals,Washington,home,0,2,5-4,-135,6.5,1,W,O,1,0.0
428,2021-01-22,3,3,Friday,False,Penguins,Pittsburgh,Rangers,New York,home,0,3,4-3,-145,6.5,1,W,O,1,0.0
429,2021-01-24,4,2,Sunday,False,Penguins,Pittsburgh,Rangers,New York,home,0,4,3-2,-135,6.5,1,W,U,0,0.0
430,2021-01-26,0,2,Tuesday,False,Penguins,Pittsburgh,Bruins,Boston,away,1,0,2-3,122,5.5,-1,L,U,1,776.2743307811005
